"name","birth_place","birth_year","death_place","death_year","gender","citizenship","occupation_str","eflux_original_names","painterpalette_original_names","Nationality","movement","styles","styles_extended","StylesCount","StylesYears","Art500k_Movements","FirstYear","LastYear","wikiart_pictures_count","PaintingsExhibitedAt","PaintingsExhibitedAtCount","PaintingSchool","Influencedby","Influencedon","Pupils","Teachers","FriendsandCoworkers","locations","locations_with_years","artist_match_A"
"Giorgio de Chirico","Volos",1888,"Rome",1978,"male","Italy","writer,illustrator,painter,sculptor,jewelry designer,scenographer,printmaker,drawer","Giorgio De Chirico","Giorgio de Chirico","Italian","Metaphysical art","Metaphysical art, Neo-baroque, Surrealism, Unknown","{Metaphysical art:96},{Neo-baroque:100},{Surrealism:1},{Unknown:1}","{Neo-baroque:100}, {Metaphysical art:97}","Neo-baroque:1909-1969,Metaphysical art:1908-1968","{Surrealism,Metaphysical art:197}",1908,2006,198,"Venice, Germany, Rome, Trento, Philadelphia,Italy, CA, France, MI, Stockholm,London, PA, Moderna, Paris, MO, Buffalo, San Francisco, Italy, Sweden, NY, Rovereto, US, Galleria, Ferrara, St. Louis, Nationalmuseum, New York City, IL, Munich, UK, Canada, Milan, Toronto, Trieste, Chicago, Houston, Detroit, Düsseldorf","{Ferrara:1},{Italy:9},{Trieste:1},{Trento:1},{Rovereto:1},{Detroit:1},{MI:1},{US:18},{London:3},{UK:3},{Galleria:1},{Moderna:1},{Milan:1},{Venice:4},{Rome:1},{Munich:1},{Germany:3},{New York City:11},{NY:12},{Nationalmuseum:1},{Stockholm:1},{Sweden:1},{Houston:1},{San Francisco:1},{CA:1},{Chicago:1},{IL:1},{Buffalo:1},{Paris:1},{France:1},{Philadelphia:1},{PA:1},{Düsseldorf:2},{St. Louis:1},{MO:1},{Toronto:1},{Canada:1}",,"Raphael,Arnold Böcklin,Alfred Kubin,Max Klinger,","Salvador Dali,Rene Magritte,Carlo Carra,Metaphysical art,Surrealism,Lettrism,Yves Tanguy,George Ault,Giorgio Morandi,Neo Rauch,",,,"Amedeo Modigliani,","['Athens', 'Paris', 'Rome', 'Munich', 'Ferrara', 'Florence']","[]","Giorgio De Chirico"
"Andre Cadere","Warsaw",1934,"14th arrondissement of Paris",1978,"male","Romania","artist,sculptor,conceptual artist","André Cadere","Andre Cadere","French,Polish,Romanian","Conceptual Art","Minimalism","{Minimalism:16}","{Minimalism:16}","Minimalism:1970-1977","{Conceptual Art,Post-Minimalism:16}",1970,1977,16,"Spain, Madrid","{Madrid:1},{Spain:1}",,,,,,,"[]","[]","Andre Cadere"
"Bruce Nauman","Fort Wayne",1941,,,"male","United States of America","photographer,artist,television producer,sculptor,visual artist,performance artist,printmaker,architectural draftsperson,drawer,installation artist,video artist","Bruce Nauman","Bruce Nauman","American","Post-Minimalism","Minimalism","{Minimalism:15}","{Minimalism:15}","Minimalism:1966-1996","{Post-Minimalism:15}",1966,1996,15,"London, United Kingdom","{London:1},{United Kingdom:1}",,,"David Hammons,",,,,"['San Francisco', 'Pasadena', 'Mill Valley', 'Galisteo']","[]","Bruce Nauman"
"Dadamaino","Milan",1930,"Milan",2004,"female","Italy","painter","Dadamaino","Dadamaino","Italian","Spatialism","Minimalism, Op Art, Spatialism","{Minimalism:4},{Op Art:10},{Spatialism:6}","{Op Art:10}, {Minimalism:4}, {Spatialism:6}","Op Art:1960-1973,Minimalism:1960-1996,Spatialism:1958-1979","{Spatialism,Op Art:20}",1958,1996,20,,,,,,,,,"['Milan']","['Milan:1950-2003']","Dadamaino"
"Derek Boshier","Portsmouth",1937,"Los Angeles",2024,"male","United Kingdom","photographer,painter,sculptor,serigrapher","Derek Boshier","Derek Boshier","British","Pop Art","Minimalism, Pop Art","{Minimalism:1},{Pop Art:21}","{Pop Art:21}, {Neo-Expressionism:3}, {Minimalism:1}","Pop Art:1962-2008,Neo-Expressionism:1980-1980,Minimalism:1966-1966","{Pop Art:22}",1962,2008,22,"London, UK","{London:1},{UK:1}",,,,,,,"['London']","[]","Derek Boshier"
"Edward Krasinski","Lutsk",1925,"Warsaw",2004,"male","Poland","painter,sculptor,performance artist,conceptual artist","Edward Krasinski","Edward Krasinski","Polish","Conceptual Art","Minimalism","{Minimalism:15}","{Minimalism:15}, {Conceptual Art:5}","Minimalism:1960-2004,Conceptual Art:1975-2004","{Conceptual Art,Minimalism:15}",1960,2004,15,,,,,,,,,"['Kraków']","['Kraków:1940-1940']","Edward Krasinski"
"Ettore Spalletti","Cappelle sul Tavo",1940,"Cappelle sul Tavo",2019,"male","Italy","painter,sculptor,visual artist","Ettore Spalletti","Ettore Spalletti","Italian","Arte Povera","Minimalism","{Minimalism:19}","{Minimalism:19}","Minimalism:1979-2010","{Arte Povera,Minimalism:19}",1979,2010,19,,,,,,,,,"[]","[]","Ettore Spalletti"
"Fred Sandback","Bronxville",1943,"New York City",2003,"male","United States of America","painter,sculptor,visual artist,drawer,conceptual artist","Fred Sandback","Fred Sandback","American","Conceptual Art","Minimalism","{Minimalism:16}","{Minimalism:16}","Minimalism:1968-1986","{Conceptual Art,Minimalism:16}",1968,1986,16,,,,,,,,,"['New York City']","['New York City:1971-2003']","Fred Sandback"
"Gego","Hamburg",1912,"Caracas",1994,"female","Venezuela","teacher,architect,illustrator,painter,sculptor,visual artist,drawer","Gego","Gego","German,Venezuelan","Op Art","Minimalism, Op Art, Post-Minimalism","{Minimalism:10},{Op Art:18},{Post-Minimalism:3}","{Minimalism:13}, {Op Art:19}, {Post-Minimalism:3}","Minimalism:1966-1977,Op Art:1959-1989,Post-Minimalism:1980-1989","{Op Art,Minimalism:31}",1959,1989,31,,,,,,,,,"[]","[]","Gego"
"Gianni Piacentino","Coazze",1945,,,"male","Italy","painter,sculptor","Gianni Piacentino","Gianni Piacentino","Italian","Arte Povera","Minimalism","{Minimalism:14}","{Minimalism:14}","Minimalism:1965-2007","{Arte Povera:1},{Minimalism:2},{Contemporary art:2},{Arte Povera,Minimalism:14}",1965,2007,14,,,,,,,,,"[]","[]","Gianni Piacentino"
"Jan Groth","Stavanger",1938,"Oslo",2022,"male","Norway","painter,designer,drawer","Jan Groth","Jan Groth","Norwegian","Minimalism","Minimalism","{Minimalism:15}","{Minimalism:15}","Minimalism:1964-1997","{Minimalism:15}",1964,1997,15,,,,,,,,,"[]","[]","Jan Groth"
"Keith Sonnier","Mamou",1941,"Southampton Hospital",2020,"male","United States of America","artist,sculptor,multimedia artist,performance artist,printmaker,video artist","Keith Sonnier","Keith Sonnier","American","Post-Minimalism","Minimalism","{Minimalism:15}","{Minimalism:15}","Minimalism:1968-2008","{Postminimalism:1},{Contemporary art:1},{Post-Minimalism:15}",1968,2008,15,"United States","{United States:2}",,,,,,,"[]","[]","Keith Sonnier"
"Kishio Suga","Morioka",1944,,,"male","Japan","sculptor,installation artist","Kishio Suga","Kishio Suga","Japanese","Minimalism","Minimalism, Post-Minimalism","{Minimalism:4},{Post-Minimalism:8}","{Post-Minimalism:8}, {Minimalism:4}","Post-Minimalism:1970-2012,Minimalism:1974-1975","{Minimalism,Post-Minimalism:12}",1970,2012,12,,,"Mono-ha",,,,,,"[]","[]","Kishio Suga"
"Lynda Benglis","Lake Charles",1941,,,"female","United States of America","photographer,painter,sculptor,performance artist,video artist","Lynda Benglis","Lynda Benglis","American","Feminist Art","Minimalism","{Minimalism:15}","{Minimalism:15}","Minimalism:1967-1980","{Feminist Art,Post-Minimalism:15}",1967,2015,15,,,,,,,,,"['New York City']","[]","Lynda Benglis"
"Martial Raysse","Golfe-Juan",1936,,,"male","France","artist,illustrator,painter,sculptor,film director,visual artist","Martial Raysse","Martial Raysse","French","Pop Art","Minimalism, Nouveau Réalisme, Pop Art","{Minimalism:3},{Nouveau Réalisme:12},{Pop Art:28}","{Minimalism:3}, {Nouveau Réalisme:32}, {Pop Art:28}, {Orientalism:2}","Nouveau Réalisme:1960-1971,Pop Art:1962-2011,Orientalism:1963-1964","{Nouveau réalisme:1},{Contemporary art:1},{Pop Art,Nouveau Réalisme:43}",1960,2011,43,,,,,,,,,"[]","[]","Martial Raysse"
"Martin Barre","Birmingham",1946,"Paris",1993,"male","United Kingdom","musician,guitarist,saxophonist,flautist,photographer,painter","Martin Barré","Martin Barre","French","Minimalism","Minimalism","{Minimalism:21}","{Minimalism:21}","Minimalism:1959-1977","{Minimalism:21}",1959,1977,21,,,,,,,,,"[]","[]","Martin Barre"
"Niele Toroni","Muralto",1937,,,"male","Switzerland","painter,visual artist,drawer","Niele Toroni","Niele Toroni","French,Swiss","Minimalism","Minimalism","{Minimalism:11}","{Minimalism:11}","Minimalism:1968-2008","{Minimalism:11}",1968,2015,11,,,"BMPT",,,,,,"['Paris']","[]","Niele Toroni"
"Richard Serra","San Francisco",1938,"Orient",2024,"male","United States of America","television producer,painter,sculptor,visual artist,drawer,video artist","Richard Serra","Richard Serra","American","Post-Minimalism","Minimalism","{Minimalism:15}","{Minimalism:15}, {Environmental (Land) Art:1}","Minimalism:1967-2006,Environmental (Land) Art:1998-1998","{Post-Minimalism:15}",1967,2006,15,,,,"Constantin Brancusi,","Jessica Stockholder,",,,,"['New Haven', 'Paris', 'New York City', 'Florence']","[]","Richard Serra"
"Robert Ryman","Nashville",1930,"Greenwich Village",2019,"male","United States of America","illustrator,painter,visual artist,drawer","Robert Ryman","Robert Ryman","American","Minimalism","Minimalism","{Minimalism:40}","{Minimalism:40}","Minimalism:1955-2003","{Minimalism:40}",1955,2003,40,"NY, New York City, US","{New York City:3},{NY:3},{US:3}",,,,,,,"['New York City']","[]","Robert Ryman"
"Sheila Hicks","Hastings",1934,,,"female","United States of America","weaver,artist,painter,designer,textile artist,manufacturer","Sheila Hicks","Sheila Hicks","American","Post-Minimalism","Minimalism","{Minimalism:14}","{Minimalism:14}","Minimalism:1962-2001","{Post-Minimalism:14}",1962,2001,14,,,,,,,,,"[]","[]","Sheila Hicks"
"Tess Jaray","Vienna",1937,,,"female","United Kingdom","painter","Tess Jaray","Tess Jaray","British,Austrian","Op Art","Minimalism, Op Art","{Minimalism:1},{Op Art:17}","{Op Art:17}, {Minimalism:7}","Op Art:1963-2012,Minimalism:1967-2012","{Op Art,Minimalism:18}",1963,2012,18,,,,,,,,,"[]","[]","Tess Jaray"
"Fernando Botero","Medellín",1932,"Monaco",2023,"male","France","illustrator,painter,sculptor,architectural draftsperson,drawer","Fernando Botero","Fernando Botero","Colombian","Neo-Figurative Art","Naïve Art (Primitivism), Neo-Figurative Art","{Naïve Art (Primitivism):163},{Neo-Figurative Art:14}","{Naïve Art (Primitivism):164}, {Neo-Figurative Art:14}","Naïve Art (Primitivism):1964-2003,Neo-Figurative Art:1949-1973","{Naïve Art (Primitivism),Neo-Figurative Art:177}",1949,2003,177,,,,,,,,,"['Bogotá', 'Germany', 'Pietrasanta', 'Paris', 'Mexico', 'New York City', 'Medellín']","[]","Fernando Botero"
"Frida Kahlo","Coyoacán",1907,"Coyoacán",1954,"female","Mexico","painter","Frida Kahlo","Frida Kahlo","Mexican","Magic Realism","Naïve Art (Primitivism), Surrealism, Unknown","{Naïve Art (Primitivism):83},{Surrealism:15},{Unknown:2}","{Naïve Art (Primitivism):99}, {Surrealism:15}","Naïve Art (Primitivism):1922-1954,Surrealism:1929-1954","{Naïve Art (Primitivism),Surrealism:99}",1922,1954,100,"CA, LA, New York, US, New Orleans, Washington DC, Mexico City, IA, Los Angeles, Nagoya, San Francisco, Paris, Buffalo, Mexico, Des Moines, Argentina, Houston, Austin, Los Angeles County Museum of Art, France, NY, Japan, Des Moines Art Center, MFAH, New York City","{Mexico:50},{San Francisco:6},{New York:4},{Mexico City:44},{Los Angeles County Museum of Art:1},{Los Angeles:2},{CA:4},{US:17},{Des Moines Art Center:1},{Des Moines:1},{IA:1},{Paris:4},{France:4},{MFAH:1},{Houston:1},{Argentina:1},{New York City:6},{NY:7},{New Orleans:1},{LA:1},{Austin:1},{Buffalo:1},{Nagoya:1},{Japan:1},{Washington DC:1}",,"Amedeo Modigliani,Diego Rivera,Jose Clemente Orozco,David Alfaro Siqueiros,Surrealism,","Judy Chicago,Georgia O'Keeffe,Feminist Art,",,,,"['San Francisco', 'Detroit', 'New York City', 'Mexico City']","[]","Frida Kahlo"
"Jean-Michel Basquiat","Brooklyn",1960,"New York City",1988,"male","United States of America","photographer,actor,composer,record producer,painter,sculptor,visual artist,architectural draftsperson,musicologist,graffiti artist,drawer,installation artist,artivist","Jean-Michel Basquiat","Jean-Michel Basquiat",,"Neo-Expressionism","Naïve Art (Primitivism), Neo-Dada, Neo-Expressionism, Street art","{Naïve Art (Primitivism):1},{Neo-Dada:4},{Neo-Expressionism:13},{Street art:139}",,,"{Neo-expressionism:1},{Primitivism:1},{Contemporary art:1}",1982,1982,157,,,,,,,,,"['Venice', 'Modena', 'Manhattan', 'Brooklyn', 'Hawaii', 'Abidjan']","[]","Jean Michel Basquiat"
"Amilcar de Castro","Paraisópolis",1920,"Belo Horizonte",2002,"male","Brazil","graphic designer,painter,sculptor","Amilcar de Castro","Amilcar de Castro",,"Neo-Concretism","Neo-Concretism","{Neo-Concretism:14}",,,,,,14,,,,,,,,,"[]","[]","Amilcar De Castro"
"Alison Knowles","New York City",1933,,,"female","United States of America","artist,visual artist,performance artist,drawer,sound artist,electronic literature writer,rower","Alison Knowles","Alison Knowles","American","Neo-Dada","Neo-Dada","{Neo-Dada:10}","{Neo-Dada:10}","Neo-Dada:1960-1995","{Neo-Dada:10}",1960,1995,10,,,"Fluxus",,,,,,"['Amsterdam']","['Amsterdam:1962-1962']","Alison Knowles"
"Claes Oldenburg","Stockholm",1929,"Manhattan",2022,"male","United States of America","painter,sculptor,graphic artist,visual artist,designer,performance artist,printmaker,architectural draftsperson,drawer","Claes Oldenburg","Claes Oldenburg","American,Swedish","Pop Art","Neo-Dada, Pop Art, Unknown","{Neo-Dada:1},{Pop Art:22},{Unknown:1}","{Pop Art:21}, {Neo-Dada:3}","Pop Art:1961-2006,Neo-Dada:1959-1975","{Pop Art:23}",1959,2006,24,"London, Venice, UK, New York, United States","{Venice:2},{New York:1},{United States:1},{London:1},{UK:1}",,,,,,,"['Chicago', 'New York City', 'Chatte', 'New Haven', 'Los Angeles', 'Rye', 'Oslo']","[]","Claes Oldenburg"
"Daniel Spoerri","Galați",1930,"Vienna",2024,"male","Switzerland","editing staff,painter,sculptor,university teacher,choreographer,visual artist,director,dancer,performance artist,printmaker","Daniel Spoerri","Daniel Spoerri","Jewish,Swiss,Romanian","Neo-Dada","Neo-Dada, Nouveau Réalisme","{Neo-Dada:14},{Nouveau Réalisme:11}","{Neo-Dada:20}, {Nouveau Réalisme:11}, {Conceptual Art:4}","Neo-Dada:1960-2002,Nouveau Réalisme:1961-2004,Conceptual Art:1961-1988","{Nouveau réalisme:1},{Contemporary art:1},{Neo-Dada,Nouveau Réalisme:25}",1960,2004,25,,,"Fluxus",,,,,,"['Paris']","[]","Daniel Spoerri"
"Gianfranco Baruchello","Livorno",1924,"Rome",2023,"male","Italy","writer,poet,painter,film director,performance artist,drawer","Gianfranco Baruchello","Gianfranco Baruchello","Italian","Neo-Dada","Neo-Dada, Pop Art","{Neo-Dada:10},{Pop Art:3}","{Conceptual Art:2}, {Neo-Dada:11}, {Pop Art:3}","Conceptual Art:1979-1979,Neo-Dada:1963-2009,Pop Art:1962-1988","{Conceptual art:1},{Contemporary art:1},{Neo-Dada,Pop Art:13}",1962,2009,13,,,,,,,,,"['Rome', 'Paris']","[]","Gianfranco Baruchello"
"Jim Dine","Cincinnati",1935,,,"male","United States of America","photographer,artist,illustrator,painter,sculptor,graphic artist,scenographer,visual artist,designer,performance artist,printmaker,drawer,lithographer,assemblage artist","Jim  Dine","Jim Dine","American","Neo-Dada","Neo-Dada, Pop Art","{Neo-Dada:21},{Pop Art:14}","{Pop Art:14}, {Neo-Dada:29}","Pop Art:1965-1985,Neo-Dada:1965-1973","{Contemporary art:1},{Neo-Dada,Pop Art:35}",1965,2001,35,"London, UK","{London:3},{UK:3}",,"Edward Hopper,",,,,,"['New York City', 'Paris', 'London', 'Cincinnati', 'Boston', 'New Haven', 'Oberlin', 'Ithaca', 'Athens', 'Walla Walla']","[]","Jim Dine"
"Jimmie Durham","Houston",1940,"Berlin",2021,"male","United States of America","photographer,writer,poet,sculptor,visual artist,performance artist,video artist","Jimmie Durham","Jimmie Durham","American","Neo-Dada","Neo-Dada","{Neo-Dada:19}","{Neo-Dada:19}","Neo-Dada:1986-2009","{Neo-Dada:19}",1986,2009,19,,,,,,,,,"['Germany']","[]","Jimmie Durham"
"John Armleder","Geneva",1948,,,"male","Switzerland","artist,sculptor,university teacher,visual artist","John Armleder","John Armleder","Swiss","Neo-Dada","Neo-Dada, Neo-Geo, Neo-Pop Art, Post-Minimalism, Unknown","{Neo-Dada:1},{Neo-Geo:5},{Neo-Pop Art:4},{Post-Minimalism:5},{Unknown:4}","{Neo-Geo:10}, {Neo-Pop Art:4}, {Conceptual Art:1}, {Neo-Dada:2}, {Post-Minimalism:5}","Neo-Geo:1984-2004,Neo-Pop Art:1988-2004,Conceptual Art:2000-2000,Neo-Dada:1979-2000,Post-Minimalism:1979-1997","{Neo-Dada,Conceptual Art,Neo-Minimalism (Neo-Geo):19}",1979,2004,19,,,"Fluxus,Groupe Ecart",,,,,,"[]","[]","John Armleder"
"Mark Dion","New Bedford",1961,,,"male","United States of America","artist,visual artist,drawer,installation artist,conceptual artist,lawyer,politician","Mark DION","Mark Dion",,"Neo-Dada","Neo-Dada","{Neo-Dada:11}",,,,,,11,,,,,,,,,"['New York City', 'Beach Lake']","['New York City:1984-1984']","Mark Dion"
"Nam June Paik","Seoul",1932,"Miami",2006,"male","United States of America","photographer,composer,television producer,painter,university teacher,visual artist,multimedia artist,pioneer,installation artist,video artist","Nam June Paik","Nam June Paik","American,South Korean","Neo-Dada","Neo-Dada","{Neo-Dada:22}","{Neo-Dada:22}","Neo-Dada:1976-2006","{Neo-Dada:22}",1963,2006,22,"London, Germany, United Kingdom","{London:6},{United Kingdom:6},{Germany:1}","Fluxus",,,,"Karl Otto Gotz,","Joseph Beuys,","['Germany', 'New York City', 'United States of America']","[]","Nam June Paik"
"Adrian Ghenie","Baia Mare",1977,,,"male","Romania","painter,visual artist","Adrian Ghenie","Adrian Ghenie",,"Neo-Expressionism","Neo-Expressionism","{Neo-Expressionism:24}",,,,,,24,,,,,,,,,"['Berlin', 'Cluj-Napoca']","[]","Adrian Ghenie"
"Adriana Varejão","Rio de Janeiro",1964,,,"female","Brazil","painter,sculptor,visual artist,drawer","Adriana Varejão","Adriana Varejão",,"Postcolonial art","Neo-Expressionism, Postcolonial art","{Neo-Expressionism:3},{Postcolonial art:11}",,,,,,14,,,,,,,,,"[]","[]","Adriana Varejao"
"Anish Kapoor","Mumbai",1954,,,"male","United Kingdom","architect,artist,painter,sculptor,jewelry designer,scenographer,visual artist,drawer","ANISH KAPOOR","Anish Kapoor","British,Indian","Post-Minimalism","Neo-Expressionism, Post-Minimalism","{Neo-Expressionism:6},{Post-Minimalism:7}","{Post-Minimalism:7}, {Neo-Expressionism:7}","Post-Minimalism:1992-2009,Neo-Expressionism:1981-2009","{Post-Minimalism:13}",1981,2009,13,,,"New British Sculpture","Damien Hirst,",,,,,"['London']","['London:1977-2013']","Anish Kapoor"
"Chris Ofili","Manchester",1968,,,"male","United Kingdom","photographer,artist,painter,sculptor,visual artist,drawer","Chris Ofili","Chris Ofili",,"Neo-Expressionism","Neo-Expressionism","{Neo-Expressionism:45}",,,,,,45,,,,,,,,,"['Trinidad and Tobago', 'London', 'Zimbabwe']","[]","Chris Ofili"
"Dana Schutz","Livonia",1976,,,"female","United States of America","painter,drawer","Dana Schutz","Dana Schutz",,"Contemporary","Neo-Expressionism, Unknown","{Neo-Expressionism:78},{Unknown:1}",,,,2007,2007,79,,,,,,,,,"['New York City']","['New York City:1999-2010']","Dana Schutz"
"Enzo Cucchi","Morro d'Alba",1949,,,"male","Italy","painter,sculptor,visual artist,printmaker,drawer,installation artist","Enzo Cucchi","Enzo Cucchi","Italian","Neo-Expressionism","Neo-Expressionism, Surrealism","{Neo-Expressionism:36},{Surrealism:4}","{Neo-Expressionism:36}, {Surrealism:4}","Neo-Expressionism:1982-2011,Surrealism:2005-2008","{Contemporary Art:1},{Neo-Expressionism,Transavantgarde:40}",1982,2014,40,"Italy","{Italy:1}",,,,,,,"[]","[]","Enzo Cucchi"
"Georg Baselitz","Kamenz",1938,,,"male","Austria","artist,illustrator,painter,sculptor,university teacher,scenographer,printmaker","Georg Baselitz","Georg Baselitz","German","Neo-Expressionism","Neo-Expressionism","{Neo-Expressionism:34}","{Neo-Expressionism:34}","Neo-Expressionism:1963-2015","{Neo-Expressionism:34}",1963,2015,34,,,"Neue Wilde",,,,,"Joseph Beuys,Gerhard Richter,","['Berlin', 'Inning am Ammersee']","[]","Georg Baselitz"
"Jenny Saville","Cambridge",1970,,,"female","United Kingdom","photographer,painter","Jenny Saville","Jenny Saville",,"Neo-Expressionism","Neo-Expressionism","{Neo-Expressionism:36}",,,"{Young British Artists:2},{Contemporary art:2}",2012,2012,36,,,,,,,,,"['Cincinnati', 'Palermo', 'London', 'Glasgow']","[]","Jenny Saville"
"Jorg Immendorff","Bleckede",1945,"Düsseldorf",2007,"male","Germany","painter,sculptor,university teacher,graphic artist,drawer,lithographer","Jörg Immendorff","Jorg Immendorff","German","Neo-Expressionism","Neo-Expressionism","{Neo-Expressionism:18}","{Neo-Expressionism:18}","Neo-Expressionism:1983-1998","{Neo-Expressionism:18}",1983,1998,18,,,"Neue Wilde",,,,,,"['Düsseldorf']","[]","Jorg Immendorff"
